delivery_id,truck_id,timestamp,origin_branch,destination_branch,distance_km,fuel_consumed_liters,status
DEL-000029,TRK-0033,2/24/2026 19:04,BR-003,BR-033,112.88,17.55,Completed
DEL-000030,TRK-0326,2/18/2026 22:44,BR-046,BR-025,397.54,65.94,Completed
DEL-000031,TRK-0953,2/16/2026 9:00,BR-004,BR-015,318.82,36.52,Completed
DEL-000032,TRK-0719,2/28/2026 17:03,BR-012,BR-024,33.89,3.53,Completed
DEL-000033,TRK-0422,2/25/2026 7:42,BR-047,BR-044,485.12,91.96,Completed
DEL-000034,TRK-0803,2/16/2026 6:19,BR-043,BR-007,79.11,8.41,Completed
DEL-000035,TRK-0014,3/2/2026 17:13,BR-003,BR-018,355.26,33.37,Delayed
DEL-000036,TRK-0903,2/7/2026 17:33,BR-003,BR-041,91.92,30.58,Cancelled
DEL-000037,TRK-0115,3/1/2026 11:17,BR-029,BR-042,374.45,36.78,Cancelled
DEL-000038,TRK-0975,2/24/2026 22:35,BR-015,BR-010,374.89,65.49,Completed
DEL-000039,TRK-0954,2/26/2026 6:59,BR-005,BR-001,97.8,22.36,Cancelled
DEL-000040,TRK-0342,2/5/2026 19:58,BR-033,BR-029,143.27,25.95,Cancelled
DEL-000041,TRK-0809,2/24/2026 8:34,BR-009,BR-029,364.34,31.26,Delayed
DEL-000042,TRK-0651,2/19/2026 16:07,BR-044,BR-020,81.89,13.64,Completed
DEL-000043,TRK-0799,2/8/2026 8:26,BR-009,BR-019,171.02,19.51,Completed
DEL-000044,TRK-0427,2/9/2026 11:54,BR-016,BR-030,59.69,10.27,Cancelled
DEL-000045,TRK-0194,2/8/2026 12:42,BR-025,BR-043,43.46,8.18,Completed
DEL-000046,TRK-0279,2/20/2026 18:37,BR-025,BR-045,40.14,4.13,Completed
DEL-000047,TRK-0456,2/26/2026 16:10,BR-014,BR-037,344.4,41.68,Delayed
DEL-000048,TRK-0993,2/3/2026 13:40,BR-007,BR-042,343.48,56.55,Cancelled
DEL-000049,TRK-0731,2/25/2026 12:02,BR-037,BR-000,391.15,56.26,Completed
DEL-000050,TRK-0233,2/3/2026 18:06,BR-048,BR-029,459.69,88.4,Completed
DEL-000051,TRK-0560,2/26/2026 11:10,BR-042,BR-044,155.47,42.4,Delayed
DEL-000052,TRK-0199,2/18/2026 20:17,BR-011,BR-039,214.84,30.24,Delayed
DEL-000053,TRK-0203,2/23/2026 17:23,BR-001,BR-013,409.6,89.59,Cancelled
DEL-000054,TRK-0253,2/23/2026 18:13,BR-025,BR-007,242.52,28.58,Completed
DEL-000055,TRK-0453,2/11/2026 10:24,BR-047,BR-037,199.68,23.86,Cancelled
DEL-000056,TRK-0595,2/16/2026 11:10,BR-004,BR-027,466.83,65.35,Completed
DEL-000057,TRK-0184,3/2/2026 8:43,BR-021,BR-035,459.96,51.21,Completed
DEL-000058,TRK-0797,2/10/2026 13:48,BR-023,BR-048,464.27,63.6,Cancelled
DEL-000059,TRK-0573,2/20/2026 9:51,BR-006,BR-031,88.81,12.23,Delayed
DEL-000060,TRK-0660,2/9/2026 10:23,BR-033,BR-032,86.22,12.74,Completed
DEL-000061,TRK-0183,2/1/2026 16:15,BR-049,BR-043,266.54,33.74,Completed
DEL-000062,TRK-0911,2/12/2026 12:05,BR-024,BR-019,466.08,136.07,Delayed
DEL-000063,TRK-0599,2/17/2026 14:01,BR-020,BR-002,192.58,17.46,Completed
DEL-000064,TRK-0109,2/7/2026 15:05,BR-025,BR-031,12.03,1.91,Completed
DEL-000065,TRK-0478,2/4/2026 18:06,BR-009,BR-005,438.96,36.59,Delayed
DEL-000066,TRK-0096,2/4/2026 15:16,BR-016,BR-001,197.09,41.84,Cancelled
DEL-000067,TRK-0337,2/10/2026 12:15,BR-039,BR-041,496.33,112.85,Completed
DEL-000068,TRK-0517,2/11/2026 8:19,BR-019,BR-036,180.57,26.33,Delayed
DEL-000069,TRK-0719,2/8/2026 12:07,BR-048,BR-027,297.04,43.08,Cancelled
DEL-000070,TRK-0304,2/21/2026 11:42,BR-013,BR-004,41.25,3.6,Completed
DEL-000071,TRK-0818,2/7/2026 8:56,BR-030,BR-024,24.99,2.37,Delayed
DEL-000072,TRK-0311,2/12/2026 13:57,BR-022,BR-005,55.09,7.99,Completed
DEL-000073,TRK-0254,2/26/2026 22:53,BR-015,BR-020,105.05,27.51,Cancelled
DEL-000074,TRK-0353,2/1/2026 16:48,BR-047,BR-020,236.95,29.04,Completed
DEL-000075,TRK-0673,2/17/2026 13:43,BR-040,BR-011,124.23,18.73,Delayed
DEL-000076,TRK-0848,2/8/2026 19:55,BR-010,BR-031,219.28,32.68,Completed
DEL-000077,TRK-0987,2/16/2026 18:54,BR-028,BR-000,58.64,10.44,Delayed
DEL-000078,TRK-0015,3/1/2026 6:39,BR-016,BR-007,40.39,3.96,Completed
DEL-000079,TRK-0548,2/27/2026 8:52,BR-047,BR-006,129.99,12.57,Cancelled
DEL-000080,TRK-0221,2/13/2026 7:02,BR-026,BR-009,247.18,23.59,Completed
DEL-000081,TRK-0331,2/6/2026 20:11,BR-045,BR-041,217.66,28.32,Completed
DEL-000082,TRK-0523,2/19/2026 17:56,BR-024,BR-022,471.74,71.24,Completed
DEL-000083,TRK-0561,2/27/2026 15:02,BR-044,BR-004,424.52,53,Completed
DEL-000084,TRK-0925,2/18/2026 6:01,BR-025,BR-040,357.36,30.66,Cancelled
DEL-000085,TRK-0065,2/10/2026 19:04,BR-015,BR-038,485.76,128.21,Completed
DEL-000086,TRK-0482,2/24/2026 15:41,BR-036,BR-040,248.25,21.08,Completed
DEL-000087,TRK-0370,2/12/2026 15:51,BR-024,BR-023,280.18,36.03,Completed
DEL-000088,TRK-0957,2/12/2026 6:59,BR-003,BR-019,405.39,37.06,Delayed
DEL-000089,TRK-0134,2/10/2026 10:55,BR-029,BR-010,271.18,28.27,Completed
DEL-000090,TRK-0915,2/6/2026 18:44,BR-034,BR-047,256.48,66.01,Completed
DEL-000091,TRK-0538,2/11/2026 14:23,BR-014,BR-017,125.56,18.31,Cancelled
DEL-000092,TRK-0939,2/26/2026 20:28,BR-039,BR-001,383.87,38.65,Cancelled
DEL-000093,TRK-0994,2/4/2026 8:32,BR-022,BR-012,127.29,25.14,Delayed
DEL-000094,TRK-0408,2/11/2026 17:31,BR-044,BR-036,446.01,54.77,Completed
DEL-000095,TRK-0340,2/9/2026 6:42,BR-014,BR-036,54.67,16.76,Delayed
DEL-000096,TRK-0979,2/22/2026 15:48,BR-029,BR-049,63.05,9.68,Completed
DEL-000097,TRK-0812,2/23/2026 18:34,BR-013,BR-027,138.16,14.86,Completed
DEL-000098,TRK-0622,2/6/2026 10:19,BR-020,BR-022,141.24,14.05,Completed
DEL-000099,TRK-0256,2/21/2026 13:40,BR-002,BR-012,432.42,86.34,Completed
DEL-000100,TRK-0010,2/25/2026 20:08,BR-044,BR-004,14.4,1.56,Completed
DEL-000101,TRK-0953,2/13/2026 7:18,BR-001,BR-041,95.56,23.73,Completed
DEL-000102,TRK-0626,2/4/2026 21:22,BR-025,BR-018,427.83,38.59,Cancelled
DEL-000103,TRK-0619,2/22/2026 10:46,BR-036,BR-047,268.89,25,Completed
DEL-000104,TRK-0953,2/1/2026 18:08,BR-017,BR-034,129.96,22.17,Completed
DEL-000105,TRK-0815,2/3/2026 16:11,BR-014,BR-006,351.04,30.6,Cancelled
DEL-000106,TRK-0473,3/2/2026 22:46,BR-017,BR-047,469.33,44.43,Delayed
DEL-000107,TRK-0020,3/1/2026 15:06,BR-036,BR-021,287.08,29.04,Delayed
DEL-000108,TRK-0498,2/1/2026 22:59,BR-007,BR-018,147.87,42.56,Completed
DEL-000109,TRK-0872,2/27/2026 16:54,BR-008,BR-013,73.5,7.48,Completed
DEL-000110,TRK-0201,2/14/2026 8:31,BR-002,BR-010,272.34,43.75,Completed
DEL-000111,TRK-0520,2/10/2026 8:37,BR-018,BR-013,190.5,20.02,Completed
DEL-000112,TRK-0784,2/10/2026 20:39,BR-048,BR-022,476.69,43.28,Cancelled
DEL-000113,TRK-0766,2/15/2026 9:07,BR-045,BR-002,438.55,40.75,Completed
DEL-000114,TRK-0425,2/18/2026 9:39,BR-012,BR-020,452.28,64.8,Completed
DEL-000115,TRK-0203,3/2/2026 18:02,BR-042,BR-027,365.66,106.69,Completed
DEL-000116,TRK-0092,2/19/2026 14:23,BR-040,BR-025,147.54,32.89,Completed
DEL-000117,TRK-0506,2/11/2026 15:00,BR-001,BR-011,30.37,7.4,Completed
DEL-000118,TRK-0541,2/14/2026 19:49,BR-040,BR-031,392.16,73.18,Completed
DEL-000119,TRK-0174,2/14/2026 22:30,BR-020,BR-002,135.66,12.24,Completed
DEL-000120,TRK-0963,2/14/2026 10:16,BR-025,BR-026,169.45,21.06,Completed
DEL-000121,TRK-0654,2/5/2026 10:41,BR-030,BR-024,433.07,58.8,Completed
DEL-000122,TRK-0637,2/9/2026 14:31,BR-048,BR-008,364.29,32.5,Completed
DEL-000123,TRK-0765,3/2/2026 16:21,BR-030,BR-040,276.23,30.19,Delayed
DEL-000124,TRK-0641,2/1/2026 12:24,BR-035,BR-021,476.23,84.62,Delayed
DEL-000125,TRK-0294,2/11/2026 9:56,BR-026,BR-008,358.89,35.23,Completed
DEL-000126,TRK-0930,2/3/2026 15:10,BR-001,BR-027,50.49,4.83,Completed
DEL-000127,TRK-0110,2/22/2026 9:23,BR-013,BR-042,417.08,43.05,Completed
DEL-000128,TRK-0617,2/21/2026 10:23,BR-028,BR-040,320.28,31.55,Completed
DEL-000129,TRK-0986,2/11/2026 7:51,BR-007,BR-028,128.49,36.78,Cancelled
DEL-000130,TRK-0429,2/23/2026 8:52,BR-010,BR-027,218.73,25.19,Completed
DEL-000131,TRK-0604,2/20/2026 10:42,BR-044,BR-004,365.92,97.15,Completed
DEL-000132,TRK-0749,2/16/2026 14:13,BR-001,BR-025,48.75,6.38,Completed
DEL-000133,TRK-0083,2/2/2026 14:01,BR-005,BR-040,422.86,86.55,Completed
DEL-000134,TRK-0066,2/2/2026 17:09,BR-012,BR-041,363.86,66.44,Cancelled
DEL-000135,TRK-0403,2/11/2026 12:36,BR-017,BR-015,296.73,85.42,Cancelled
DEL-000136,TRK-0647,2/24/2026 10:41,BR-018,BR-001,450.78,43.41,Completed
DEL-000137,TRK-0050,2/19/2026 16:38,BR-041,BR-039,278.63,26.31,Completed
DEL-000138,TRK-0424,2/8/2026 14:36,BR-046,BR-020,437.58,133.53,Completed
DEL-000139,TRK-0736,2/16/2026 13:15,BR-017,BR-006,72.27,6.81,Completed
DEL-000140,TRK-0717,2/10/2026 20:32,BR-022,BR-019,214.11,25.44,Completed
DEL-000141,TRK-0316,2/1/2026 8:05,BR-018,BR-028,157.69,16.19,Completed
DEL-000142,TRK-0018,2/18/2026 10:38,BR-038,BR-046,41.39,3.5,Completed
DEL-000143,TRK-0034,2/25/2026 22:13,BR-045,BR-016,77,10.64,Completed
DEL-000144,TRK-0585,2/24/2026 11:20,BR-010,BR-012,137.57,11.76,Completed
DEL-000145,TRK-0496,2/3/2026 13:36,BR-008,BR-001,98.67,10.53,Completed
DEL-000146,TRK-0353,2/12/2026 19:53,BR-034,BR-039,128,25,Cancelled
DEL-000147,TRK-0198,2/6/2026 21:42,BR-005,BR-016,494.88,109.65,Cancelled
DEL-000148,TRK-0296,2/2/2026 7:31,BR-041,BR-003,206.6,34.57,Cancelled
DEL-000149,TRK-0785,2/2/2026 6:02,BR-001,BR-048,488.78,42.3,Completed
DEL-000150,TRK-0621,2/8/2026 16:34,BR-017,BR-000,215.53,63.59,Completed
DEL-000151,TRK-0668,3/1/2026 12:49,BR-047,BR-035,325.83,42.07,Completed
DEL-000152,TRK-0500,3/2/2026 6:35,BR-041,BR-009,387.81,74.94,Delayed
DEL-000153,TRK-0716,2/27/2026 15:26,BR-002,BR-014,209.74,25.3,Cancelled
DEL-000154,TRK-0483,2/1/2026 17:34,BR-009,BR-034,442.53,109.09,Completed
DEL-000155,TRK-0419,2/7/2026 16:03,BR-015,BR-006,474.38,72.96,Completed
DEL-000156,TRK-0736,2/21/2026 10:36,BR-007,BR-040,247.2,25.2,Completed
DEL-000157,TRK-0870,2/17/2026 10:47,BR-034,BR-001,400.04,49.37,Delayed
DEL-000158,TRK-0925,2/21/2026 15:48,BR-034,BR-009,132.82,24.01,Completed
DEL-000159,TRK-0397,2/15/2026 14:59,BR-045,BR-030,469.35,53.82,Delayed
DEL-000160,TRK-0196,2/23/2026 8:40,BR-030,BR-020,355.98,41.17,Cancelled
DEL-000161,TRK-0750,2/4/2026 11:10,BR-015,BR-028,233.08,28.8,Completed
DEL-000162,TRK-0910,3/2/2026 15:52,BR-006,BR-046,127.7,18.81,Cancelled
DEL-000163,TRK-0836,2/16/2026 20:43,BR-026,BR-006,238.01,54.98,Cancelled
DEL-000164,TRK-0811,3/2/2026 13:55,BR-013,BR-023,216.57,23.42,Cancelled
DEL-000165,TRK-0557,2/1/2026 11:21,BR-031,BR-023,208.97,30.67,Delayed
DEL-000166,TRK-0628,2/17/2026 19:17,BR-024,BR-003,196.81,23.75,Completed
DEL-000167,TRK-0537,2/13/2026 22:46,BR-003,BR-027,180.45,17.16,Cancelled
DEL-000168,TRK-0658,2/6/2026 14:52,BR-019,BR-003,74.66,12.68,Cancelled
DEL-000169,TRK-0590,2/28/2026 16:37,BR-011,BR-022,135.4,20.3,Completed
DEL-000170,TRK-0409,2/17/2026 22:12,BR-016,BR-042,446.3,66.11,Completed
DEL-000171,TRK-0503,2/8/2026 20:15,BR-039,BR-001,259.82,50.18,Completed
DEL-000172,TRK-0344,2/17/2026 22:03,BR-032,BR-046,141.44,40.42,Cancelled
DEL-000173,TRK-0873,2/2/2026 22:01,BR-008,BR-007,108.25,28.87,Delayed
DEL-000174,TRK-0647,2/26/2026 12:33,BR-032,BR-013,414.11,101.88,Delayed
DEL-000175,TRK-0334,2/12/2026 18:05,BR-014,BR-001,54.09,8.82,Completed
DEL-000176,TRK-0060,2/3/2026 14:13,BR-044,BR-041,201.39,19.94,Completed
DEL-000177,TRK-0804,2/5/2026 22:37,BR-015,BR-044,243.58,37.08,Delayed
DEL-000178,TRK-0178,2/9/2026 16:21,BR-012,BR-044,183.72,44.64,Completed
DEL-000179,TRK-0388,2/16/2026 13:08,BR-033,BR-018,146.81,13.48,Completed
DEL-000180,TRK-0114,2/22/2026 14:39,BR-033,BR-040,64.86,5.83,Completed
DEL-000181,TRK-0676,2/18/2026 12:52,BR-004,BR-010,26.39,2.32,Cancelled
DEL-000182,TRK-0748,2/7/2026 17:56,BR-018,BR-028,101.87,18.5,Completed
DEL-000183,TRK-0356,2/10/2026 21:13,BR-004,BR-037,432.14,115.9,Completed
DEL-000184,TRK-0852,2/13/2026 12:10,BR-012,BR-009,316.52,28.62,Delayed
DEL-000185,TRK-0471,2/4/2026 14:27,BR-019,BR-015,230.69,31.1,Completed
DEL-000186,TRK-0308,2/14/2026 16:40,BR-000,BR-011,34.51,4.24,Completed
DEL-000187,TRK-0325,3/1/2026 17:02,BR-039,BR-001,90.64,10.57,Completed
DEL-000188,TRK-0978,2/12/2026 18:08,BR-035,BR-028,187.67,38.3,Completed
DEL-000189,TRK-0333,2/5/2026 6:04,BR-017,BR-006,311.29,85.6,Completed
DEL-000190,TRK-0036,2/18/2026 18:13,BR-002,BR-012,99.79,9.95,Completed
DEL-000191,TRK-0941,2/5/2026 8:54,BR-043,BR-045,469.69,46.16,Cancelled
DEL-000192,TRK-0889,2/8/2026 11:35,BR-005,BR-000,281.82,31.01,Completed
DEL-000193,TRK-0607,2/15/2026 9:00,BR-044,BR-046,220.03,26.24,Completed
DEL-000194,TRK-0263,3/1/2026 12:33,BR-047,BR-029,241.05,30.91,Cancelled
DEL-000195,TRK-0732,2/19/2026 6:26,BR-037,BR-047,437.67,49.62,Completed
DEL-000196,TRK-0879,2/18/2026 13:11,BR-014,BR-023,379.07,37.78,Delayed
DEL-000197,TRK-0546,2/16/2026 16:51,BR-044,BR-049,399.09,62.14,Delayed
DEL-000198,TRK-0830,2/28/2026 18:28,BR-033,BR-037,448.09,68.96,Completed
DEL-000199,TRK-0987,2/17/2026 8:32,BR-000,BR-029,442.5,82.74,Delayed
DEL-000200,TRK-0091,2/15/2026 14:48,BR-009,BR-048,415.46,49.26,Completed
DEL-000201,TRK-0575,2/26/2026 15:04,BR-037,BR-046,138.93,16.08,Completed
DEL-000202,TRK-0898,2/1/2026 21:44,BR-038,BR-036,104.71,9.68,Completed
DEL-000203,TRK-0221,2/14/2026 22:51,BR-031,BR-015,207.97,52.86,Completed
DEL-000204,TRK-0331,2/3/2026 7:46,BR-018,BR-022,216.96,24.12,Completed
DEL-000205,TRK-0749,2/8/2026 21:52,BR-003,BR-021,112.16,21.15,Completed
DEL-000206,TRK-0783,2/5/2026 16:25,BR-024,BR-037,438.11,55.92,Delayed
DEL-000207,TRK-0840,2/3/2026 8:37,BR-018,BR-040,375.28,60.56,Completed
DEL-000208,TRK-0675,2/28/2026 17:58,BR-046,BR-044,394.04,43.49,Completed
DEL-000209,TRK-0044,2/12/2026 10:05,BR-017,BR-047,60.88,18.67,Cancelled
DEL-000210,TRK-0091,2/27/2026 9:37,BR-032,BR-037,39.86,5.38,Completed
DEL-000211,TRK-0311,2/28/2026 12:32,BR-028,BR-033,469,40.83,Completed
DEL-000212,TRK-0398,2/25/2026 9:42,BR-043,BR-027,447.37,93.08,Delayed
DEL-000213,TRK-0693,2/2/2026 17:19,BR-009,BR-014,302.77,98.56,Completed
DEL-000214,TRK-0346,2/10/2026 12:29,BR-006,BR-017,179.28,23.14,Completed
DEL-000215,TRK-0540,2/11/2026 8:20,BR-026,BR-007,292.68,26.8,Completed
DEL-000216,TRK-0994,3/2/2026 19:24,BR-045,BR-021,161.22,24.97,Delayed
DEL-000217,TRK-0445,2/16/2026 12:05,BR-033,BR-008,342.96,45.39,Completed
DEL-000218,TRK-0173,2/24/2026 9:07,BR-014,BR-025,29.4,3.78,Completed
DEL-000219,TRK-0387,2/27/2026 10:14,BR-047,BR-011,367.91,83.68,Completed
DEL-000220,TRK-0388,2/28/2026 9:34,BR-047,BR-046,181.7,59.77,Cancelled
DEL-000221,TRK-0841,2/28/2026 6:32,BR-040,BR-019,424.15,63.65,Cancelled
DEL-000222,TRK-0096,2/12/2026 20:45,BR-037,BR-029,83.82,18.97,Completed
DEL-000223,TRK-0686,2/5/2026 17:22,BR-010,BR-022,356.25,46.71,Cancelled
DEL-000224,TRK-0418,2/7/2026 11:14,BR-048,BR-016,159,15.71,Delayed
DEL-000225,TRK-0125,2/2/2026 9:29,BR-024,BR-031,466.42,48.24,Completed
DEL-000226,TRK-0963,2/13/2026 15:10,BR-012,BR-022,242.14,51.85,Completed
DEL-000227,TRK-0226,2/7/2026 16:06,BR-032,BR-017,451.79,41.09,Completed
DEL-000228,TRK-0903,2/5/2026 7:30,BR-023,BR-019,101.03,17.46,Completed
DEL-000229,TRK-0154,2/25/2026 6:07,BR-047,BR-048,460.81,137.91,Completed
DEL-000230,TRK-0769,2/11/2026 21:40,BR-038,BR-048,96.94,8.39,Completed
DEL-000231,TRK-0239,2/4/2026 22:17,BR-007,BR-006,104.5,10.51,Delayed
DEL-000232,TRK-0585,2/5/2026 14:38,BR-024,BR-048,463.09,116.84,Completed
DEL-000233,TRK-0608,2/25/2026 16:12,BR-045,BR-032,492.36,70.17,Completed
DEL-000234,TRK-0674,2/12/2026 8:14,BR-042,BR-046,330.87,47.38,Delayed
DEL-000235,TRK-0554,2/14/2026 20:10,BR-016,BR-045,290.31,24.54,Cancelled
DEL-000236,TRK-0891,2/1/2026 15:41,BR-034,BR-001,17.46,1.72,Completed
DEL-000237,TRK-0282,2/23/2026 17:35,BR-006,BR-022,245.09,26.51,Delayed
DEL-000238,TRK-0114,2/8/2026 12:10,BR-002,BR-013,416.78,36.49,Completed
DEL-000239,TRK-0255,2/16/2026 6:37,BR-000,BR-028,154.71,21.78,Delayed
DEL-000240,TRK-0967,2/24/2026 10:07,BR-046,BR-048,458.22,138.08,Completed
DEL-000241,TRK-0369,2/14/2026 13:37,BR-002,BR-035,129.5,22.46,Delayed
DEL-000242,TRK-0835,2/17/2026 8:05,BR-000,BR-007,176.09,18.06,Completed
DEL-000243,TRK-0282,2/23/2026 17:33,BR-036,BR-011,266.35,31.46,Completed
DEL-000244,TRK-0813,2/26/2026 10:47,BR-005,BR-040,52.26,15.62,Delayed
DEL-000245,TRK-0261,3/1/2026 13:25,BR-002,BR-000,189.22,16.11,Completed
DEL-000246,TRK-0050,2/14/2026 10:52,BR-011,BR-024,26.84,5.39,Completed
DEL-000247,TRK-0488,2/6/2026 18:33,BR-022,BR-044,67.36,8.96,Delayed
DEL-000248,TRK-0757,2/4/2026 22:28,BR-024,BR-025,231.28,22.32,Completed
DEL-000249,TRK-0962,2/16/2026 11:47,BR-040,BR-043,328.94,78.11,Cancelled
DEL-000250,TRK-0192,2/7/2026 22:15,BR-001,BR-020,418.63,81.9,Delayed
DEL-000251,TRK-0458,2/17/2026 13:04,BR-015,BR-006,454.62,105.29,Completed
DEL-000252,TRK-0067,2/8/2026 20:46,BR-007,BR-012,84.27,7.45,Delayed
DEL-000253,TRK-0202,2/4/2026 6:03,BR-046,BR-011,395.62,44.58,Completed
DEL-000254,TRK-0599,2/9/2026 21:41,BR-019,BR-024,124.17,14.13,Completed
DEL-000255,TRK-0082,2/25/2026 7:54,BR-043,BR-038,259.4,22,Completed
DEL-000256,TRK-0013,2/25/2026 13:01,BR-017,BR-010,340.92,37.51,Completed
DEL-000257,TRK-0708,2/8/2026 12:14,BR-022,BR-027,496.82,56.68,Completed
DEL-000258,TRK-0286,3/2/2026 15:55,BR-012,BR-013,493.19,44.58,Cancelled
DEL-000259,TRK-0171,2/8/2026 10:22,BR-032,BR-047,252.26,28.81,Cancelled
DEL-000260,TRK-0897,2/5/2026 8:11,BR-019,BR-002,405.89,50.32,Delayed
DEL-000261,TRK-0571,2/11/2026 6:37,BR-020,BR-001,24.94,3.92,Cancelled
DEL-000262,TRK-0154,2/27/2026 11:43,BR-041,BR-033,492.37,60.22,Delayed
DEL-000263,TRK-0176,2/25/2026 21:55,BR-046,BR-014,34.82,4.75,Completed
DEL-000264,TRK-0473,2/3/2026 20:49,BR-013,BR-041,38.26,3.54,Completed
DEL-000265,TRK-0187,2/23/2026 8:17,BR-006,BR-046,34.77,7.9,Completed
DEL-000266,TRK-0397,2/2/2026 14:49,BR-008,BR-002,123.85,19.06,Completed
DEL-000267,TRK-0163,2/7/2026 14:01,BR-012,BR-028,376.46,50.86,Delayed
DEL-000268,TRK-0051,2/22/2026 12:07,BR-011,BR-038,312.83,60.53,Completed
DEL-000269,TRK-0971,2/22/2026 11:32,BR-042,BR-029,206.99,17.68,Delayed
DEL-000270,TRK-0342,2/17/2026 14:52,BR-000,BR-039,50.41,10.42,Completed
DEL-000271,TRK-0401,2/28/2026 16:29,BR-000,BR-025,189.89,17.13,Completed
DEL-000272,TRK-0452,2/2/2026 9:44,BR-030,BR-041,71.11,8.65,Completed
DEL-000273,TRK-0974,2/21/2026 12:31,BR-022,BR-025,448.37,128.19,Completed
DEL-000274,TRK-0739,2/9/2026 21:08,BR-036,BR-029,429.83,59.75,Cancelled
DEL-000275,TRK-0677,2/7/2026 6:21,BR-021,BR-037,390.65,42.38,Completed
DEL-000276,TRK-0547,2/4/2026 16:12,BR-049,BR-038,35.1,11.67,Cancelled
DEL-000277,TRK-0288,2/24/2026 8:09,BR-037,BR-030,79.39,12.44,Completed
DEL-000278,TRK-0833,2/26/2026 10:39,BR-035,BR-005,236.19,36.25,Completed
DEL-000279,TRK-0188,2/7/2026 15:58,BR-014,BR-026,38.55,3.82,Completed
DEL-000280,TRK-0565,2/1/2026 15:01,BR-020,BR-017,346.7,53.58,Completed
DEL-000281,TRK-0384,2/17/2026 19:30,BR-005,BR-045,69.66,6.59,Delayed
DEL-000282,TRK-0407,2/1/2026 8:03,BR-024,BR-031,283.28,25.06,Completed
DEL-000283,TRK-0316,2/1/2026 14:16,BR-040,BR-022,314.86,63.44,Completed
DEL-000284,TRK-0666,2/5/2026 19:24,BR-021,BR-034,84.15,9.65,Completed
DEL-000285,TRK-0060,2/4/2026 9:13,BR-004,BR-047,184.2,18.35,Completed
DEL-000286,TRK-0874,2/25/2026 17:59,BR-005,BR-010,397.86,39.85,Completed
DEL-000287,TRK-0069,2/22/2026 14:28,BR-049,BR-045,77.4,17.52,Completed
DEL-000288,TRK-0699,2/6/2026 8:47,BR-048,BR-000,197.71,26.71,Completed
DEL-000289,TRK-0323,2/27/2026 22:31,BR-008,BR-034,462.21,51.02,Delayed
DEL-000290,TRK-0090,2/6/2026 15:36,BR-044,BR-037,420.02,52.72,Completed
DEL-000291,TRK-0700,2/21/2026 13:58,BR-000,BR-044,328.91,107.09,Delayed
