product_id,product_name,category,unit_price,weight_kg
PROD-00066,Cement Item 66,Cement,603.78,47.28
PROD-00067,Aggregates Item 67,Aggregates,2750.67,41.81
PROD-00068,Aggregates Item 68,Aggregates,2177.44,2.57
PROD-00069,Plumbing Item 69,Plumbing,4499.96,39.91
PROD-00070,Cement Item 70,Cement,4499.68,10.9
PROD-00071,Lumber Item 71,Lumber,3351.32,18.01
PROD-00072,Finishing Item 72,Finishing,4870.49,37.6
PROD-00073,Lumber Item 73,Lumber,4329.8,48.82
PROD-00074,Aggregates Item 74,Aggregates,4413.01,1.73
PROD-00075,Plumbing Item 75,Plumbing,3922.81,20.88
PROD-00076,Lumber Item 76,Lumber,1370.69,39.48
PROD-00077,Steel Item 77,Steel,1943.58,2.42
PROD-00078,Tools Item 78,Tools,1151.05,40.92
PROD-00079,Tools Item 79,Tools,1780.81,41.12
PROD-00080,Lumber Item 80,Lumber,1153.47,33.17
PROD-00081,Finishing Item 81,Finishing,1674.9,43.29
PROD-00082,Electrical Item 82,Electrical,1788.17,25.72
PROD-00083,Plumbing Item 83,Plumbing,4699.22,6.21
PROD-00084,Electrical Item 84,Electrical,933.91,48.15
PROD-00085,Electrical Item 85,Electrical,239.37,30.03
PROD-00086,Plumbing Item 86,Plumbing,3656.3,16.03
PROD-00087,Steel Item 87,Steel,1956.72,29.04
PROD-00088,Electrical Item 88,Electrical,269.71,22.08
PROD-00089,Lumber Item 89,Lumber,1852.9,3.96
PROD-00090,Plumbing Item 90,Plumbing,3134.62,33.34
PROD-00091,Steel Item 91,Steel,3612.78,15.37
PROD-00092,Electrical Item 92,Electrical,3351.12,16.65
PROD-00093,Electrical Item 93,Electrical,2794.34,10
PROD-00094,Finishing Item 94,Finishing,3402.72,45.19
PROD-00095,Electrical Item 95,Electrical,2060.07,41.77
PROD-00096,Electrical Item 96,Electrical,1470.22,21.78
PROD-00097,Plumbing Item 97,Plumbing,2351.69,22.39
PROD-00098,Lumber Item 98,Lumber,2580.31,39.79
PROD-00099,Aggregates Item 99,Aggregates,3311.31,14.55
PROD-00100,Plumbing Item 100,Plumbing,512.27,47.62
PROD-00101,Lumber Item 101,Lumber,3380.34,11.62
PROD-00102,Lumber Item 102,Lumber,779.4,2.79
PROD-00103,Tools Item 103,Tools,3075.81,38.54
PROD-00104,Tools Item 104,Tools,2101.48,31.67
PROD-00105,Lumber Item 105,Lumber,3605.81,19.51
PROD-00106,Finishing Item 106,Finishing,1257.72,32.97
PROD-00107,Cement Item 107,Cement,4468.67,43.09
PROD-00108,Steel Item 108,Steel,3903.18,11.33
PROD-00109,Tools Item 109,Tools,298.58,12.84
PROD-00110,Steel Item 110,Steel,2309.49,40.17
PROD-00111,Plumbing Item 111,Plumbing,4752.7,44.63
PROD-00112,Finishing Item 112,Finishing,4161.32,27.62
PROD-00113,Aggregates Item 113,Aggregates,3731.09,24
PROD-00114,Electrical Item 114,Electrical,3771.3,42.07
PROD-00115,Electrical Item 115,Electrical,3840.78,26.3
PROD-00116,Lumber Item 116,Lumber,1409.26,4.34
PROD-00117,Electrical Item 117,Electrical,1210.74,17.12
PROD-00118,Steel Item 118,Steel,734.95,11.95
PROD-00119,Aggregates Item 119,Aggregates,3546.77,3.68
PROD-00120,Finishing Item 120,Finishing,1687.86,23.56
PROD-00121,Cement Item 121,Cement,1073.83,21.3
PROD-00122,Cement Item 122,Cement,4290.82,38.4
PROD-00123,Finishing Item 123,Finishing,2411.05,47.17
PROD-00124,Electrical Item 124,Electrical,3779.7,42.75
PROD-00125,Finishing Item 125,Finishing,2714.19,36.86
PROD-00126,Lumber Item 126,Lumber,2466.74,14.01
PROD-00127,Tools Item 127,Tools,193.67,17.14
PROD-00128,Finishing Item 128,Finishing,3634.7,42.11
PROD-00129,Aggregates Item 129,Aggregates,4904.57,26.94
PROD-00130,Finishing Item 130,Finishing,2979.87,33.32
PROD-00131,Steel Item 131,Steel,3231.61,7.22
PROD-00132,Tools Item 132,Tools,949.56,13.38
PROD-00133,Plumbing Item 133,Plumbing,1097.72,16.68
PROD-00134,Finishing Item 134,Finishing,1427.37,47.58
PROD-00135,Finishing Item 135,Finishing,1298.74,4.55
PROD-00136,Cement Item 136,Cement,3757.67,3.08
PROD-00137,Plumbing Item 137,Plumbing,1159.9,3.9
PROD-00138,Cement Item 138,Cement,3783.45,47.51
PROD-00139,Lumber Item 139,Lumber,4204.18,31.26
PROD-00140,Lumber Item 140,Lumber,674.79,33.64
PROD-00141,Lumber Item 141,Lumber,2351.92,13.18
PROD-00142,Plumbing Item 142,Plumbing,880.56,30.56
PROD-00143,Steel Item 143,Steel,3900.07,8.61
PROD-00144,Electrical Item 144,Electrical,585.09,1.77
PROD-00145,Electrical Item 145,Electrical,2900.19,45.45
PROD-00146,Finishing Item 146,Finishing,2013.44,35.89
PROD-00147,Steel Item 147,Steel,2980.88,41.61
PROD-00148,Lumber Item 148,Lumber,554.41,38.74
PROD-00149,Steel Item 149,Steel,3991.32,28.51
PROD-00150,Cement Item 150,Cement,1768.66,21.7
PROD-00151,Plumbing Item 151,Plumbing,391.34,32.55
PROD-00152,Cement Item 152,Cement,4255.4,41.21
PROD-00153,Steel Item 153,Steel,2195.94,18.43
PROD-00154,Tools Item 154,Tools,3551.18,22.06
PROD-00155,Electrical Item 155,Electrical,3098.77,46.02
PROD-00156,Tools Item 156,Tools,2351.13,41.37
PROD-00157,Electrical Item 157,Electrical,1645.41,12.65
PROD-00158,Steel Item 158,Steel,1430.69,22.81
PROD-00159,Tools Item 159,Tools,2870.76,33.58
PROD-00160,Plumbing Item 160,Plumbing,192.06,42.62
PROD-00161,Aggregates Item 161,Aggregates,2463.37,18.06
PROD-00162,Electrical Item 162,Electrical,1734.68,44.08
PROD-00163,Electrical Item 163,Electrical,2801.17,26.07
PROD-00164,Lumber Item 164,Lumber,473.78,36.14
PROD-00165,Tools Item 165,Tools,2798.12,12.4
PROD-00166,Tools Item 166,Tools,3247.22,24.8
PROD-00167,Cement Item 167,Cement,510.61,11.47
PROD-00168,Lumber Item 168,Lumber,1565.72,29.29
PROD-00169,Tools Item 169,Tools,2789.69,17.52
PROD-00170,Plumbing Item 170,Plumbing,1791.46,22.96
PROD-00171,Electrical Item 171,Electrical,1294.45,6.47
PROD-00172,Lumber Item 172,Lumber,1611.96,37.27
PROD-00173,Aggregates Item 173,Aggregates,998.13,37.06
PROD-00174,Electrical Item 174,Electrical,3636.7,48.84
PROD-00175,Electrical Item 175,Electrical,4903.53,41.72
PROD-00176,Electrical Item 176,Electrical,1176.04,9.38
PROD-00177,Cement Item 177,Cement,3554.69,6.77
PROD-00178,Cement Item 178,Cement,4872.76,27.89
PROD-00179,Aggregates Item 179,Aggregates,3207.45,37.76
PROD-00180,Steel Item 180,Steel,4369.96,28.92
PROD-00181,Tools Item 181,Tools,2419.64,17.36
PROD-00182,Cement Item 182,Cement,1299.77,43.16
PROD-00183,Steel Item 183,Steel,4119.47,20.34
PROD-00184,Steel Item 184,Steel,2906.25,34.48
PROD-00185,Aggregates Item 185,Aggregates,788.53,28.36
PROD-00186,Electrical Item 186,Electrical,471.65,12.79
PROD-00187,Finishing Item 187,Finishing,3051.27,39.64
PROD-00188,Lumber Item 188,Lumber,3889.68,19.33
PROD-00189,Tools Item 189,Tools,1521.9,29.63
PROD-00190,Finishing Item 190,Finishing,1561.63,31.24
PROD-00191,Steel Item 191,Steel,4740.57,10.79
PROD-00192,Lumber Item 192,Lumber,1360,4.52
PROD-00193,Lumber Item 193,Lumber,910.38,4.22
PROD-00194,Cement Item 194,Cement,2072.16,34.62
PROD-00195,Tools Item 195,Tools,1491.73,11.96
PROD-00196,Electrical Item 196,Electrical,3529.79,22.97
PROD-00197,Lumber Item 197,Lumber,4623.36,39.5
PROD-00198,Lumber Item 198,Lumber,2154.44,27.46
PROD-00199,Aggregates Item 199,Aggregates,4546.64,41.42
PROD-00200,Steel Item 200,Steel,345.21,39.74
PROD-00201,Electrical Item 201,Electrical,2223.81,23.7
PROD-00202,Electrical Item 202,Electrical,3513.68,47.16
PROD-00203,Tools Item 203,Tools,2216.91,30.1
PROD-00204,Finishing Item 204,Finishing,3685.94,30.38
PROD-00205,Cement Item 205,Cement,502.07,48.11
PROD-00206,Cement Item 206,Cement,4997.88,33.78
PROD-00207,Electrical Item 207,Electrical,2902.42,38.27
PROD-00208,Aggregates Item 208,Aggregates,2378.98,32.75
PROD-00209,Electrical Item 209,Electrical,948.37,29.47
PROD-00210,Tools Item 210,Tools,4846.82,23.77
PROD-00211,Finishing Item 211,Finishing,1699.88,33.67
PROD-00212,Aggregates Item 212,Aggregates,1682.53,34.84
PROD-00213,Electrical Item 213,Electrical,3329.79,20.32
PROD-00214,Cement Item 214,Cement,2301.39,16.07
PROD-00215,Plumbing Item 215,Plumbing,623.81,38.74
PROD-00216,Cement Item 216,Cement,3305.42,27.36
PROD-00217,Finishing Item 217,Finishing,318.31,26.16
PROD-00218,Tools Item 218,Tools,3145.77,38.12
PROD-00219,Lumber Item 219,Lumber,1371.93,6.99
PROD-00220,Electrical Item 220,Electrical,2218.67,35.06
PROD-00221,Steel Item 221,Steel,192.9,31.69
PROD-00222,Lumber Item 222,Lumber,3563.42,15.88
PROD-00223,Cement Item 223,Cement,2783.64,5.11
PROD-00224,Steel Item 224,Steel,2334.17,6.31
PROD-00225,Aggregates Item 225,Aggregates,2516.96,35.97
PROD-00226,Electrical Item 226,Electrical,2106.68,24.38
PROD-00227,Tools Item 227,Tools,1256.47,27.79
PROD-00228,Finishing Item 228,Finishing,993.52,30.17
PROD-00229,Aggregates Item 229,Aggregates,4326.93,14.17
PROD-00230,Finishing Item 230,Finishing,1732.38,39.49
PROD-00231,Electrical Item 231,Electrical,4111.72,14.5
PROD-00232,Electrical Item 232,Electrical,4195.51,29.21
PROD-00233,Tools Item 233,Tools,4333.04,22.6
PROD-00234,Tools Item 234,Tools,1758.36,27.82
PROD-00235,Finishing Item 235,Finishing,2303.96,16.43
PROD-00236,Lumber Item 236,Lumber,4904.83,12.32
PROD-00237,Finishing Item 237,Finishing,1206.13,38.89
PROD-00238,Cement Item 238,Cement,1624.97,23.91
PROD-00239,Finishing Item 239,Finishing,1961.09,33.35
PROD-00240,Aggregates Item 240,Aggregates,2501.88,2.33
PROD-00241,Plumbing Item 241,Plumbing,4355.02,43.77
PROD-00242,Tools Item 242,Tools,543.57,45.57
PROD-00243,Cement Item 243,Cement,3626.1,20.79
PROD-00244,Aggregates Item 244,Aggregates,420.4,39.19
PROD-00245,Electrical Item 245,Electrical,1725.88,34.79
PROD-00246,Steel Item 246,Steel,4266.24,42.69
PROD-00247,Finishing Item 247,Finishing,4772.99,31.53
PROD-00248,Tools Item 248,Tools,4368.3,2.28
PROD-00249,Steel Item 249,Steel,1212.11,34.38
PROD-00250,Electrical Item 250,Electrical,4987.26,37.46
PROD-00251,Finishing Item 251,Finishing,4892.77,38.14
PROD-00252,Steel Item 252,Steel,2246.21,34.85
PROD-00253,Cement Item 253,Cement,277.66,39.91
PROD-00254,Electrical Item 254,Electrical,1824.39,21.82
PROD-00255,Lumber Item 255,Lumber,2679.27,28.51
PROD-00256,Aggregates Item 256,Aggregates,891.42,4.41
PROD-00257,Finishing Item 257,Finishing,3117.57,12.42
PROD-00258,Aggregates Item 258,Aggregates,1199.33,32.08
PROD-00259,Tools Item 259,Tools,1313.87,0.97
PROD-00260,Tools Item 260,Tools,4510.99,34.04
PROD-00261,Aggregates Item 261,Aggregates,415.62,47.29
PROD-00262,Electrical Item 262,Electrical,3212.75,21.5
PROD-00263,Electrical Item 263,Electrical,2311.34,15.46
PROD-00264,Finishing Item 264,Finishing,4274.01,5.78
PROD-00265,Finishing Item 265,Finishing,2881.02,28.95
PROD-00266,Electrical Item 266,Electrical,158.6,41.59
PROD-00267,Finishing Item 267,Finishing,1408.68,28.51
PROD-00268,Cement Item 268,Cement,4557.55,37.39
PROD-00269,Electrical Item 269,Electrical,3889.92,11.89
PROD-00270,Plumbing Item 270,Plumbing,1134.07,9.91
PROD-00271,Electrical Item 271,Electrical,3404.93,36.19
PROD-00272,Aggregates Item 272,Aggregates,3159.83,45.22
PROD-00273,Cement Item 273,Cement,1579.22,22.32
PROD-00274,Plumbing Item 274,Plumbing,3675.18,4.96
PROD-00275,Electrical Item 275,Electrical,1667.26,21.07
PROD-00276,Lumber Item 276,Lumber,704.19,27.2
PROD-00277,Plumbing Item 277,Plumbing,2677.72,45.72
PROD-00278,Aggregates Item 278,Aggregates,1322,41.32
PROD-00279,Tools Item 279,Tools,4838.55,15.11
PROD-00280,Plumbing Item 280,Plumbing,4030.95,23.68
PROD-00281,Steel Item 281,Steel,746.75,48.34
PROD-00282,Finishing Item 282,Finishing,4837.99,40.33
PROD-00283,Plumbing Item 283,Plumbing,497,20.03
PROD-00284,Electrical Item 284,Electrical,2706.03,23.01
PROD-00285,Electrical Item 285,Electrical,2943.57,41.21
PROD-00286,Plumbing Item 286,Plumbing,586.31,12.07
PROD-00287,Cement Item 287,Cement,3116.76,47.19
PROD-00288,Plumbing Item 288,Plumbing,4580.52,11.46
PROD-00289,Steel Item 289,Steel,3195.25,23.48
PROD-00290,Electrical Item 290,Electrical,3263.74,6.28
PROD-00291,Cement Item 291,Cement,4733.99,15.57
PROD-00292,Tools Item 292,Tools,624.8,12.12
PROD-00293,Aggregates Item 293,Aggregates,1973.8,18.87
PROD-00294,Finishing Item 294,Finishing,2957.33,36.47
PROD-00295,Finishing Item 295,Finishing,3291.86,41.77
PROD-00296,Finishing Item 296,Finishing,4698.31,14.35
PROD-00297,Plumbing Item 297,Plumbing,1125.48,22.51
PROD-00298,Lumber Item 298,Lumber,4284.48,5.42
PROD-00299,Plumbing Item 299,Plumbing,2745.11,48.9
PROD-00300,Plumbing Item 300,Plumbing,349.72,14.16
PROD-00301,Steel Item 301,Steel,4747.6,41.3
PROD-00302,Steel Item 302,Steel,3330.71,32.26
PROD-00303,Cement Item 303,Cement,300.36,17.01
PROD-00304,Aggregates Item 304,Aggregates,3945.54,10.66
PROD-00305,Lumber Item 305,Lumber,2952.6,40.75
PROD-00306,Lumber Item 306,Lumber,1676.37,7.8
PROD-00307,Cement Item 307,Cement,1422.51,49.21
PROD-00308,Aggregates Item 308,Aggregates,2724.07,40.03
PROD-00309,Steel Item 309,Steel,3322.24,1.78
PROD-00310,Cement Item 310,Cement,1823.3,39.53
PROD-00311,Plumbing Item 311,Plumbing,128.12,13.64
PROD-00312,Aggregates Item 312,Aggregates,3721.5,26.54
PROD-00313,Steel Item 313,Steel,2407.42,39.01
PROD-00314,Steel Item 314,Steel,2287.43,11.47
PROD-00315,Cement Item 315,Cement,3649.85,45.48
PROD-00316,Electrical Item 316,Electrical,2317.31,48.22
PROD-00317,Cement Item 317,Cement,4993,42.44
PROD-00318,Finishing Item 318,Finishing,3446.18,24.77
PROD-00319,Tools Item 319,Tools,413.78,4.5
PROD-00320,Aggregates Item 320,Aggregates,375.13,14.11
PROD-00321,Plumbing Item 321,Plumbing,1935.48,30.07
PROD-00322,Electrical Item 322,Electrical,2295.89,30.47
PROD-00323,Steel Item 323,Steel,3975.83,6.16
PROD-00324,Lumber Item 324,Lumber,2178.85,44.46
PROD-00325,Finishing Item 325,Finishing,1727.71,22.95
PROD-00326,Finishing Item 326,Finishing,3661.58,15.97
PROD-00327,Plumbing Item 327,Plumbing,3342.28,19.03
PROD-00328,Aggregates Item 328,Aggregates,3449.76,23.98
PROD-00329,Steel Item 329,Steel,4167.27,5.11
PROD-00330,Steel Item 330,Steel,3735.72,18.95
PROD-00331,Aggregates Item 331,Aggregates,2804.04,29.53
PROD-00332,Plumbing Item 332,Plumbing,3366.57,20.84
PROD-00333,Finishing Item 333,Finishing,4347.06,36.19
PROD-00334,Electrical Item 334,Electrical,3022.03,17.91
PROD-00335,Lumber Item 335,Lumber,815.91,24.37
PROD-00336,Steel Item 336,Steel,1783.06,28.04
PROD-00337,Steel Item 337,Steel,3824.9,28.92
PROD-00338,Finishing Item 338,Finishing,4233.52,48.74
PROD-00339,Cement Item 339,Cement,3064.52,33.06
PROD-00340,Electrical Item 340,Electrical,193.32,14.03
PROD-00341,Electrical Item 341,Electrical,4611.61,17.88
PROD-00342,Aggregates Item 342,Aggregates,4355.82,28.53
PROD-00343,Finishing Item 343,Finishing,394.45,37.18
PROD-00344,Cement Item 344,Cement,504.2,26.76
PROD-00345,Finishing Item 345,Finishing,2128.17,17.37
PROD-00346,Plumbing Item 346,Plumbing,1592.6,16.56
PROD-00347,Steel Item 347,Steel,4422.54,8.2
PROD-00348,Cement Item 348,Cement,3386.15,13.97
PROD-00349,Finishing Item 349,Finishing,2454.03,22.38
PROD-00350,Electrical Item 350,Electrical,1117.07,25.86
PROD-00351,Plumbing Item 351,Plumbing,2178.07,14.52
PROD-00352,Tools Item 352,Tools,2658.32,15.77
PROD-00353,Lumber Item 353,Lumber,2006.55,30.17
PROD-00354,Cement Item 354,Cement,1061.89,47.29
PROD-00355,Aggregates Item 355,Aggregates,3832.6,14.83
PROD-00356,Steel Item 356,Steel,88.26,37.48
PROD-00357,Aggregates Item 357,Aggregates,689.47,26.86
PROD-00358,Lumber Item 358,Lumber,2526.3,41.75
PROD-00359,Plumbing Item 359,Plumbing,406.77,43.16
PROD-00360,Cement Item 360,Cement,2209.29,23.26
PROD-00361,Steel Item 361,Steel,4317.44,29
PROD-00362,Finishing Item 362,Finishing,3562.02,21.18
PROD-00363,Steel Item 363,Steel,2054.91,48.33
PROD-00364,Aggregates Item 364,Aggregates,4016.54,31.1
PROD-00365,Plumbing Item 365,Plumbing,486.24,42.3
PROD-00366,Lumber Item 366,Lumber,2206.6,20.32
PROD-00367,Steel Item 367,Steel,2009.05,15.86
PROD-00368,Plumbing Item 368,Plumbing,1146.78,39.07
PROD-00369,Steel Item 369,Steel,2576.89,6.14
PROD-00370,Lumber Item 370,Lumber,4534.32,17.79
PROD-00371,Aggregates Item 371,Aggregates,1219.53,7.75
PROD-00372,Lumber Item 372,Lumber,908.82,8.07
PROD-00373,Steel Item 373,Steel,926.87,38.76
PROD-00374,Tools Item 374,Tools,2346.57,28.4
PROD-00375,Tools Item 375,Tools,3421.61,44.16
PROD-00376,Plumbing Item 376,Plumbing,4328.02,31.55
PROD-00377,Aggregates Item 377,Aggregates,2226.83,23.71
PROD-00378,Electrical Item 378,Electrical,3991.83,29.78
PROD-00379,Plumbing Item 379,Plumbing,2561.32,15.87
PROD-00380,Tools Item 380,Tools,236.16,18.75
PROD-00381,Electrical Item 381,Electrical,429.82,43.28
PROD-00382,Steel Item 382,Steel,3094.29,25.6
PROD-00383,Tools Item 383,Tools,2922.63,47.73
PROD-00384,Cement Item 384,Cement,2276.18,40.59
PROD-00385,Lumber Item 385,Lumber,1641.56,24.04
PROD-00386,Aggregates Item 386,Aggregates,4790.73,22.8
PROD-00387,Plumbing Item 387,Plumbing,4912.81,4.67
PROD-00388,Aggregates Item 388,Aggregates,243.75,35.53
PROD-00389,Tools Item 389,Tools,2644.14,30.69
PROD-00390,Plumbing Item 390,Plumbing,1895.62,14.5
PROD-00391,Finishing Item 391,Finishing,3883.6,34.11
PROD-00392,Cement Item 392,Cement,3956.67,32.54
PROD-00393,Steel Item 393,Steel,1681.97,28.12
PROD-00394,Finishing Item 394,Finishing,1456.53,36.32
PROD-00395,Aggregates Item 395,Aggregates,1700.14,29.35
PROD-00396,Aggregates Item 396,Aggregates,4587.89,15.86
PROD-00397,Finishing Item 397,Finishing,688.31,35.59
PROD-00398,Steel Item 398,Steel,1582.43,19.15
PROD-00399,Plumbing Item 399,Plumbing,4075.26,33.67
PROD-00400,Steel Item 400,Steel,3247.82,21.46
PROD-00401,Plumbing Item 401,Plumbing,140.24,15.79
PROD-00402,Lumber Item 402,Lumber,1741.58,38.42
PROD-00403,Lumber Item 403,Lumber,1171.39,7.31
PROD-00404,Steel Item 404,Steel,1514.17,39.51
PROD-00405,Cement Item 405,Cement,3326.55,43.88
PROD-00406,Aggregates Item 406,Aggregates,3006.37,8.14
PROD-00407,Aggregates Item 407,Aggregates,4165.16,38.67
PROD-00408,Aggregates Item 408,Aggregates,3619.86,2.66
PROD-00409,Plumbing Item 409,Plumbing,3398,12.26
PROD-00410,Tools Item 410,Tools,3072.45,37.74
PROD-00411,Tools Item 411,Tools,1208.31,12.34
PROD-00412,Tools Item 412,Tools,4524.67,10.1
PROD-00413,Tools Item 413,Tools,2335.32,14.45
PROD-00414,Finishing Item 414,Finishing,2539.39,21.22
PROD-00415,Aggregates Item 415,Aggregates,4093.61,40.16
PROD-00416,Aggregates Item 416,Aggregates,4371.36,3.08
PROD-00417,Tools Item 417,Tools,4376.88,27.95
PROD-00418,Steel Item 418,Steel,3571.43,26.04
PROD-00419,Steel Item 419,Steel,1461.06,38.27
PROD-00420,Electrical Item 420,Electrical,2274.13,25.91
PROD-00421,Finishing Item 421,Finishing,503.98,45.57
PROD-00422,Tools Item 422,Tools,4428.92,46.56
PROD-00423,Finishing Item 423,Finishing,313.62,25.35
PROD-00424,Lumber Item 424,Lumber,1961.52,4.54
PROD-00425,Lumber Item 425,Lumber,189.53,46.58
PROD-00426,Plumbing Item 426,Plumbing,3967.33,7.31
PROD-00427,Electrical Item 427,Electrical,4591.11,23.89
PROD-00428,Aggregates Item 428,Aggregates,3806.26,23.72
PROD-00429,Cement Item 429,Cement,4533.99,1.44
PROD-00430,Lumber Item 430,Lumber,4183.07,27.67
PROD-00431,Finishing Item 431,Finishing,600.37,14.76
PROD-00432,Electrical Item 432,Electrical,653.15,12.3
PROD-00433,Tools Item 433,Tools,360.9,41.92
PROD-00434,Tools Item 434,Tools,3003.86,1.31
PROD-00435,Lumber Item 435,Lumber,3606.79,14.92
PROD-00436,Cement Item 436,Cement,3093.31,12.41
PROD-00437,Finishing Item 437,Finishing,977.2,33.58
PROD-00438,Plumbing Item 438,Plumbing,385.01,26.54
PROD-00439,Cement Item 439,Cement,1982.75,23.77
PROD-00440,Finishing Item 440,Finishing,4906.15,13.06
PROD-00441,Cement Item 441,Cement,1817.61,3.84
PROD-00442,Lumber Item 442,Lumber,3678.06,31.6
PROD-00443,Plumbing Item 443,Plumbing,710.38,17.94
PROD-00444,Plumbing Item 444,Plumbing,4076.87,9.17
PROD-00445,Tools Item 445,Tools,4905.05,24.19
PROD-00446,Aggregates Item 446,Aggregates,4066.91,3.62
PROD-00447,Tools Item 447,Tools,233.07,10.48
PROD-00448,Lumber Item 448,Lumber,4434.66,16.12
PROD-00449,Electrical Item 449,Electrical,2601.15,49.46
PROD-00450,Tools Item 450,Tools,1303.9,37.79
PROD-00451,Lumber Item 451,Lumber,1466.25,43.18
PROD-00452,Cement Item 452,Cement,4335.7,16.93
PROD-00453,Steel Item 453,Steel,4006.74,22.13
PROD-00454,Finishing Item 454,Finishing,3729.37,44.78
PROD-00455,Finishing Item 455,Finishing,1728.23,9.75
PROD-00456,Tools Item 456,Tools,1868.37,39.97
PROD-00457,Electrical Item 457,Electrical,4015.68,36.49
PROD-00458,Steel Item 458,Steel,2181.51,49.76
PROD-00459,Aggregates Item 459,Aggregates,2750.1,16.4
PROD-00460,Steel Item 460,Steel,1673.2,15.13
PROD-00461,Tools Item 461,Tools,3032.98,21.59
PROD-00462,Tools Item 462,Tools,1790.16,2.6
PROD-00463,Plumbing Item 463,Plumbing,3093.51,22.03
PROD-00464,Cement Item 464,Cement,421.45,32.06
PROD-00465,Plumbing Item 465,Plumbing,2589.78,37.62
PROD-00466,Aggregates Item 466,Aggregates,4766.31,7.57
PROD-00467,Tools Item 467,Tools,222.25,3.83
PROD-00468,Plumbing Item 468,Plumbing,1842.65,47.5
PROD-00469,Cement Item 469,Cement,3045.22,34.11
PROD-00470,Plumbing Item 470,Plumbing,1891.47,38.27
PROD-00471,Aggregates Item 471,Aggregates,2670.83,20.2
PROD-00472,Electrical Item 472,Electrical,1285.58,6.12
